State,Regulations,Renewables,Happening,Human,Harm
Alabama,0.15,0.07,0.37,-0.07,0.27
Alaska,0.18,0.19,0.20,0.73,0.45
Arizona,0.22,0.19,0.23,0.57,0.44
Arkansas,0.32,0.22,0.40,0.74,0.57
California,0.22,0.18,0.21,0.54,0.38
Colorado,0.20,0.18,0.21,0.58,0.44
Connecticut,0.21,0.19,0.27,0.54,0.44
Delaware,0.30,0.21,0.27,0.55,0.52
Florida,0.32,0.22,0.29,0.60,0.51
Georgia,0.39,0.27,0.40,0.81,0.64
Hawaii,0.12,0.13,0.13,0.42,0.35
Idaho,0.20,0.18,0.23,0.77,0.40
Illinois,0.22,0.19,0.30,0.62,0.55
Indiana,0.30,0.19,0.37,0.75,0.63
Iowa,0.21,0.21,0.32,0.60,0.51
Kansas,0.25,0.21,0.32,0.72,0.52
Kentucky,0.31,0.22,0.44,0.69,0.61
Louisiana,0.34,0.29,0.44,0.77,0.64
Maine,0.23,0.14,0.29,0.51,0.46
Maryland,0.29,0.21,0.26,0.59,0.50
Massachusetts,0.23,0.15,0.26,0.50,0.42
Michigan,0.26,0.21,0.38,0.72,0.60
Minnesota,0.20,0.17,0.28,0.55,0.51
Mississippi,0.10,-0.22,-0.30,-1.04,-0.34
Missouri,0.29,0.20,0.34,0.68,0.56
Montana,0.20,0.17,0.24,0.67,0.47
Nebraska,0.23,0.22,0.32,0.71,0.48
Nevada,0.19,0.20,0.25,0.58,0.41
New Hampshire,0.22,0.16,0.31,0.56,0.40
New Jersey,0.20,0.18,0.26,0.61,0.44
New Mexico,0.22,0.22,0.30,0.54,0.51
New York,0.24,0.13,0.20,0.51,0.36
North Carolina,0.32,0.27,0.32,0.70,0.56
North Dakota,0.21,0.16,0.29,0.67,0.54
Ohio,0.31,0.21,0.36,0.61,0.51
Oklahoma,0.25,0.22,0.38,0.72,0.55
Oregon,0.18,0.12,0.16,0.53,0.36
Pennsylvania,0.22,0.21,0.30,0.63,0.51
Rhode Island,0.27,0.16,0.28,0.43,0.43
South Carolina,0.32,0.26,0.37,0.88,0.65
South Dakota,0.19,0.21,0.26,0.69,0.51
Tennessee,0.25,0.24,0.46,0.72,0.54
Texas,0.32,0.23,0.34,0.66,0.49
Utah,0.21,0.21,0.24,0.72,0.49
Vermont,0.17,0.16,0.27,0.48,0.47
Virginia,0.25,0.22,0.25,0.63,0.53
Washington,0.20,0.18,0.22,0.53,0.35
West Virginia,0.23,0.23,0.38,0.72,0.70
Wisconsin,0.21,0.18,0.30,0.62,0.48
Wyoming,0.13,0.22,0.33,0.72,0.51
