State,Regulation,Renewables,Happening,Human,HarmUS
Kansas,-1.09,-1.43,-0.96,-0.58,-0.67
Louisiana,-1.10,-1.43,-0.97,-0.63,-0.69
Michigan,-1.13,-1.41,-0.99,-0.65,-0.71
Missouri,-1.09,-1.41,-0.96,-0.61,-0.69
Arkansas,-1.12,-1.40,-0.96,-0.60,-0.66
Idaho,-1.10,-1.40,-1.02,-0.48,-0.62
Indiana,-1.08,-1.39,-0.92,-0.60,-0.68
Texas,-1.03,-1.31,-0.99,-0.58,-0.71
New York,0.31,0.13,0.16,-0.69,-0.76
Alabama,0.49,0.17,0.43,-0.51,-0.42
Wyoming,-0.79,0.21,-0.79,-0.45,-0.79
North Dakota,-0.91,0.22,-0.74,-0.42,-0.67
Illinois,0.53,0.23,0.54,-0.41,-0.27
Alaska,-1.17,0.25,-1.14,-0.58,-0.70
Virginia,-1.06,0.27,-0.96,-0.64,-0.57
Nebraska,-0.95,0.27,-0.85,-0.40,-0.70
Iowa,-0.91,0.28,-0.94,-0.57,-0.78
Wisconsin,-1.00,0.32,-0.89,-0.46,-0.71
Tennessee,-1.07,0.32,-0.91,-0.58,-0.69
Montana,-0.92,0.32,-0.91,-0.40,-0.70
New Jersey,-1.17,0.33,-0.95,-0.53,-0.60
Hawaii,-1.05,0.33,-1.10,-0.59,-0.70
South Carolina,-1.10,0.35,-0.93,-0.55,-0.63
Kentucky,-1.07,0.35,-0.90,-0.53,-0.60
Utah,-0.99,0.35,-0.88,-0.47,-0.49
Vermont,-1.12,0.35,-0.87,-0.61,-0.56
Minnesota,-1.06,0.37,-0.92,-0.58,-0.70
Pennsylvania,-1.14,0.37,-0.91,-0.63,-0.58
New Mexico,-0.95,0.37,-0.92,-0.56,-0.74
California,-1.15,0.37,-1.06,-0.59,-0.77
Mississippi,0.57,0.37,-0.22,-0.62,-0.52
South Dakota,-1.01,0.38,-0.96,-0.53,-0.57
Maryland,-1.10,0.38,-0.96,-0.57,-0.66
West Virginia,-0.95,0.38,-0.76,-0.51,-0.57
Colorado,-0.94,0.38,-0.86,-0.42,-0.55
Connecticut,-1.04,0.39,-0.93,-0.49,-0.57
Massachusetts,-1.15,0.40,-0.92,-0.58,-0.57
Nevada,-0.94,0.41,-0.91,-0.45,-0.76
Georgia,-0.34,0.41,-0.17,-0.43,-0.26
Delaware,-1.14,0.41,-0.86,-0.61,-0.56
Florida,-1.11,0.41,-0.84,-0.50,-0.55
Arizona,-0.99,0.42,-0.88,-0.47,-0.55
Maine,-1.10,0.42,-0.94,-0.53,-0.59
Washington,-0.96,0.45,-0.93,-0.40,-0.71
New Hampshire,-0.92,0.46,-0.79,-0.39,-0.67
North Carolina,-1.05,0.47,-0.88,-0.51,-0.50
Ohio,-0.92,0.47,-0.80,-0.40,-0.67
Oregon,-1.06,0.48,-0.91,-0.38,-0.60
Oklahoma,-1.04,0.49,-0.84,-0.46,-0.61
Rhode Island,-0.97,0.50,-0.83,-0.52,-0.52
